timestamp,site,marca_buscada,produto,preco,url
2026-06-30 08:00:40,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken lata 269ml","5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-lata-269ml/1000045527
2026-06-30 08:00:40,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken long neck 330ml","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-long-neck-330ml/1000034755
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken Lata - 473ml,"8,13",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata---473ml/1000051283
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken lata 269ml,"5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata-269ml/1000042610
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken lata 350ml,"6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata-350ml/1000007872
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken long neck 250ml,"6,59",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-250ml/1000007927
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken long neck 330ml,"8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-330ml/1000008685
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Heineken long neck 600ml,"15,28",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-long-neck-600ml/1000007926
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Lager Puro Malte sem Glúten Heineken Ultimate Garrafa 330ml,"8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-puro-malte-sem-gluten-heineken-ultimate-garrafa-330ml/1000056064
2026-06-30 08:00:40,Sonda Delivery,Heineken,Cerveja Lager Zero Álcool Heineken Lata 350ml,"6,81",https://www.sondadelivery.com.br/delivery/produto/cerveja-lager-zero-alcool-heineken-lata-350ml/1000034754
2026-06-30 08:00:40,Sonda Delivery,Spaten,Cerveja munich helles Spaten lata 269ml,"3,79",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-helles-spaten-lata-269ml/1000043131
2026-06-30 08:00:40,Sonda Delivery,Spaten,Cerveja munich puro malte Spaten lata 350ml,"4,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-munich-puro-malte-spaten-lata-350ml/1000039001
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois lata 269ml,"5,05",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-269ml/1000049712
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois lata 350ml,"5,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-lata-350ml/1000048737
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja pure gold Stella Artois long neck 330ml,"7,39",https://www.sondadelivery.com.br/delivery/produto/cerveja-pure-gold-stella-artois-long-neck-330ml/1000047453
2026-06-30 08:00:40,Sonda Delivery,Spaten,Cerveja puro malte munich helles Spaten garrafa 600ml,"9,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-puro-malte-munich-helles-spaten-garrafa-600ml/1000041988
2026-06-30 08:00:40,Sonda Delivery,Spaten,Cerveja puro malte Spaten long neck 330ml,"5,99",https://www.sondadelivery.com.br/delivery/produto/cerveja-puro-malte-spaten-long-neck-330ml/1000050531
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja Stella Artois lata 269ml,"4,39",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-lata-269ml/1000029439
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja Stella Artois lata 350ml,"5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-lata-350ml/1000032690
2026-06-30 08:00:40,Sonda Delivery,Stella Artois,Cerveja Stella Artois long neck 330ml,"6,89",https://www.sondadelivery.com.br/delivery/produto/cerveja-stella-artois-long-neck-330ml/1000032348
2026-06-30 08:00:40,Sonda Delivery,Michelob,Cerveja ultra Michelob lata 350ml,"4,69",https://www.sondadelivery.com.br/delivery/produto/cerveja-ultra-michelob-lata-350ml/1000040890
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Ultimate Long Neck 6x330ml,"43,74",https://www.samsclub.com.br/cerveja-heineken-ultimate-long-neck-6x330ml-7896045507702/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Lager Heineken Garrafa 600ml,"13,48",https://www.samsclub.com.br/cerveja-lager-heineken-600ml-0000078905498/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Long Neck 6x250ml,"31,98",https://www.samsclub.com.br/cerveja-heineken-long-neck-6-250ml-7896045507276/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Lager Chopp Premium Heineken Barril 5l,"109,98",https://www.samsclub.com.br/cerveja-lager-chopp-premium-heineken-barril-5l-8712000026011/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Pack 8 Latas 269ml Cada,"36,98",https://www.samsclub.com.br/cerveja-heineken-pack-8-latas-269ml-cada-7896045506590/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Sleek Pack 12 Latas 350ml Cada,"68,48",https://www.samsclub.com.br/cerveja-heineken-sleek-pack-12-latas-350ml-cada-7896045506873/p
2026-06-30 08:00:40,Sam's Club,Heineken,Chopeira Elétrica Heineken Krups Beertender B101 127V 5l,"999,90",https://www.samsclub.com.br/chopeira-eletrica-heineken-krups-beertender-b101-127v-5l-3045386377626/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Lager Heineken Pack 6 Long Neck 330ml cada,"41,98",https://www.samsclub.com.br/cerveja-lager-heineken-pack-6-long-neck-330ml-cada-0000078936683/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Pack 8 Latas 269ml Cada,"36,98",https://www.samsclub.com.br/cerveja-heineken-zero-alcool-pack-8-latas-269ml-cada-7896045506859/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Sleek Pack 12 Latas 350ml Cada,"68,48",https://www.samsclub.com.br/cerveja-heineken-zero-alcool-sleek-pack-12-latas-350ml-cada-7896045506910/p
2026-06-30 08:00:40,Sam's Club,Heineken,Cerveja Lager Premium Puro Malte Zero Álcool Heineken Pack com 6 Unidades 330ml Cada,"39,98",https://www.samsclub.com.br/cerveja-lager-premium-puro-malte-zero-alcool-heineken-pack-com-6-unidades-330ml-cada-7896045506040/p
